order_id,order_datetime,financial_year,week_number,day_name,site,customer_type,service_line,item_name,membership_tier,sales_source,acquisition_channel,staff_id,fulfilment_status,units,list_price_gbp,promotion_code,discount_gbp,refund_gbp,net_sales_gbp,direct_cost_gbp,contribution_margin_gbp,satisfaction_score
ORD000020,2018-01-11,FY2017/18,2,Thursday,City Centre,Member,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Referral,SYSTEM,Completed,1,64.92,NEWYEAR15,9.74,0.0,55.18,13.22,41.96,3.5
ORD000021,2018-01-11,FY2017/18,2,Thursday,Northside,Corporate Employee,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Paid Social,SYSTEM,Completed,1,61.28,NEWYEAR15,9.19,0.0,52.09,12.93,39.16,5.0
ORD000022,2018-01-14,FY2017/18,2,Sunday,Riverside,Member,Coaching,Personal Training Session,Not Applicable,Web Store,Existing Customer,RV-CO-02,Completed,1,45.45,NEWYEAR15,6.82,0.0,38.63,26.65,11.98,4.1
ORD000023,2018-01-15,FY2017/18,3,Monday,Northside,Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Organic Search,SYSTEM,Completed,1,60.61,NONE,0.0,0.0,60.61,12.49,48.12,4.0
ORD000024,2018-01-15,FY2017/18,3,Monday,City Centre,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Email,SYSTEM,Completed,1,28.9,REFER10,2.89,0.0,26.01,4.88,21.13,3.5
ORD000025,2018-01-16,FY2017/18,3,Tuesday,Riverside,Student,Coaching,Personal Training Session,Not Applicable,Mobile App,Paid Social,RV-CO-01,Completed,1,45.06,NEWYEAR15,6.76,0.0,38.3,25.2,13.1,4.9
ORD000026,2018-01-16,FY2017/18,3,Tuesday,Riverside,Casual Visitor,Membership,Flex Monthly Membership,Flex,Web Store,Walk-in,SYSTEM,Completed,1,39.01,NONE,0.0,0.0,39.01,7.13,31.88,
ORD000027,2018-01-17,FY2017/18,3,Wednesday,City Centre,Member,Coaching,Personal Training Session,Not Applicable,Reception,Referral,CC-CO-03,Completed,1,46.53,NEWYEAR15,6.98,0.0,39.55,25.94,13.61,5.0
ORD000028,2018-01-17,FY2017/18,3,Wednesday,Riverside,Member,Coaching,Personal Training Session,Not Applicable,Corporate Portal,Walk-in,RV-CO-08,Completed,1,44.51,NEWYEAR15,6.68,0.0,37.83,25.58,12.25,4.2
ORD000029,2018-01-18,FY2017/18,3,Thursday,City Centre,Casual Visitor,Coaching,Eight Session Coaching Pack,Not Applicable,Reception,Existing Customer,CC-CO-08,Completed,1,335.49,NEWYEAR15,50.32,0.0,285.17,150.03,135.14,4.6
ORD000030,2018-01-18,FY2017/18,3,Thursday,Riverside,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Web Store,Organic Search,SYSTEM,Completed,1,27.84,REFER10,2.78,0.0,25.06,4.92,20.14,4.8
ORD000031,2018-01-18,FY2017/18,3,Thursday,Northside,Returning Member,Membership,Unlimited Monthly Membership,Unlimited,Phone,Walk-in,SYSTEM,Completed,1,61.32,NONE,0.0,0.0,61.32,13.37,47.95,4.5
ORD000032,2018-01-18,FY2017/18,3,Thursday,Riverside,Casual Visitor,Membership,Annual Saver Membership,Annual Saver,Reception,Walk-in,SYSTEM,Completed,1,423.91,NONE,0.0,0.0,423.91,70.5,353.41,4.0
ORD000033,2018-01-20,FY2017/18,3,Saturday,City Centre,Returning Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,63.69,NEWYEAR15,9.55,0.0,54.14,13.35,40.79,4.8
ORD000034,2018-01-21,FY2017/18,3,Sunday,City Centre,Casual Visitor,Membership,Flex Monthly Membership,Flex,Reception,Walk-in,SYSTEM,Completed,1,40.37,NONE,0.0,0.0,40.37,7.6,32.77,4.4
ORD000035,2018-01-21,FY2017/18,3,Sunday,City Centre,Member,Retail,Protein Shake,Not Applicable,Reception,Paid Social,SYSTEM,Completed,1,4.99,REFER10,0.5,0.0,4.49,2.64,1.85,3.7
ORD000036,2018-01-22,FY2017/18,4,Monday,City Centre,Student,Membership,Annual Saver Membership,Annual Saver,Corporate Portal,Walk-in,SYSTEM,Completed,1,433.03,REFER10,43.3,0.0,389.73,67.84,321.89,4.8
ORD000037,2018-01-22,FY2017/18,4,Monday,City Centre,Student,Retail,Resistance Band,Not Applicable,Web Store,Paid Social,SYSTEM,Completed,1,11.27,NONE,0.0,0.0,11.27,5.42,5.85,4.5
ORD000038,2018-01-24,FY2017/18,4,Wednesday,City Centre,Returning Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Existing Customer,SYSTEM,Completed,1,64.4,REFER10,6.44,0.0,57.96,13.99,43.97,4.1
ORD000039,2018-01-25,FY2017/18,4,Thursday,City Centre,Family Add-on,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,63.63,NEWYEAR15,9.54,0.0,54.09,13.82,40.27,4.5
ORD000040,2018-01-26,FY2017/18,4,Friday,Riverside,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Referral,SYSTEM,Completed,1,27.73,NEWYEAR15,4.16,0.0,23.57,4.59,18.98,5.0
ORD000041,2018-01-26,FY2017/18,4,Friday,Northside,Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,60.87,NEWYEAR15,9.13,0.0,51.74,12.42,39.32,3.8
ORD000042,2018-01-26,FY2017/18,4,Friday,City Centre,Casual Visitor,Coaching,Personal Training Session,Not Applicable,Reception,Referral,CC-CO-04,Completed,1,47.39,REFER10,4.74,0.0,42.65,25.99,16.66,4.6
ORD000043,2018-01-27,FY2017/18,4,Saturday,City Centre,Family Add-on,Coaching,Personal Training Session,Not Applicable,Reception,Walk-in,CC-CO-04,Completed,1,47.39,REFER10,4.74,0.0,42.65,26.05,16.6,4.0
ORD000044,2018-01-27,FY2017/18,4,Saturday,City Centre,Casual Visitor,Retail,Resistance Band,Not Applicable,Reception,Existing Customer,SYSTEM,Completed,2,11.49,NEWYEAR15,3.45,0.0,19.53,11.28,8.25,4.0
ORD000045,2018-01-29,FY2017/18,5,Monday,City Centre,Corporate Employee,Membership,Flex Monthly Membership,Flex,Reception,Corporate Partnership,SYSTEM,Completed,1,40.09,NEWYEAR15,6.01,0.0,34.08,7.22,26.86,4.0
ORD000046,2018-01-29,FY2017/18,5,Monday,Riverside,Member,Membership,Flex Monthly Membership,Flex,Reception,Referral,SYSTEM,Completed,1,39.02,NEWYEAR15,5.85,0.0,33.17,6.91,26.26,5.0
ORD000047,2018-01-30,FY2017/18,5,Tuesday,Riverside,Casual Visitor,Membership,Unlimited Monthly Membership,Unlimited,Corporate Portal,Email,SYSTEM,Completed,1,61.79,NONE,0.0,0.0,61.79,13.13,48.66,4.2
ORD000048,2018-01-31,FY2017/18,5,Wednesday,City Centre,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Existing Customer,SYSTEM,Completed,1,29.42,NEWYEAR15,4.41,0.0,25.01,4.92,20.09,4.3
ORD000049,2018-01-31,FY2017/18,5,Wednesday,City Centre,Member,Membership,Flex Monthly Membership,Flex,Reception,Existing Customer,SYSTEM,Completed,1,40.48,NEWYEAR15,6.07,0.0,34.41,7.24,27.17,4.7
ORD000050,2018-02-02,FY2017/18,5,Friday,City Centre,Returning Member,Membership,Flex Monthly Membership,Flex,Reception,Email,SYSTEM,Completed,1,40.28,NONE,0.0,0.0,40.28,7.3,32.98,4.3
ORD000051,2018-02-02,FY2017/18,5,Friday,Northside,Returning Member,Coaching,Eight Session Coaching Pack,Not Applicable,Reception,Walk-in,NS-CO-08,Completed,1,315.85,REFER10,31.59,0.0,284.26,140.08,144.18,4.5
ORD000052,2018-02-03,FY2017/18,5,Saturday,City Centre,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Walk-in,SYSTEM,Completed,1,29.36,NONE,0.0,0.0,29.36,4.75,24.61,5.0
ORD000053,2018-02-03,FY2017/18,5,Saturday,Riverside,Student,Membership,Flex Monthly Membership,Flex,Reception,Walk-in,SYSTEM,Completed,1,38.45,NONE,0.0,0.0,38.45,6.7,31.75,3.8
ORD000054,2018-02-03,FY2017/18,5,Saturday,Riverside,Casual Visitor,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,62.14,NONE,0.0,0.0,62.14,12.88,49.26,4.2
ORD000055,2018-02-04,FY2017/18,5,Sunday,City Centre,Student,Membership,Flex Monthly Membership,Flex,Reception,Walk-in,SYSTEM,Completed,1,40.97,NONE,0.0,0.0,40.97,7.72,33.25,4.4
ORD000056,2018-02-06,FY2017/18,6,Tuesday,City Centre,Returning Member,Membership,Flex Monthly Membership,Flex,Reception,Walk-in,SYSTEM,Completed,1,39.98,NONE,0.0,0.0,39.98,7.26,32.72,4.9
ORD000057,2018-02-07,FY2017/18,6,Wednesday,Northside,Student,Membership,Unlimited Monthly Membership,Unlimited,Mobile App,Organic Search,SYSTEM,Completed,1,59.87,NONE,0.0,0.0,59.87,13.07,46.8,3.8
ORD000058,2018-02-07,FY2017/18,6,Wednesday,City Centre,Member,Coaching,Personal Training Session,Not Applicable,Mobile App,Paid Social,CC-CO-03,Completed,1,46.48,NONE,0.0,0.0,46.48,26.5,19.98,4.2
ORD000059,2018-02-07,FY2017/18,6,Wednesday,City Centre,Returning Member,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Existing Customer,SYSTEM,Completed,1,63.75,REFER10,6.38,0.0,57.37,13.29,44.08,3.0
ORD000060,2018-02-07,FY2017/18,6,Wednesday,Riverside,Member,Group Class,Strength Circuit Class,Not Applicable,Mobile App,Referral,RV-GR-04,No Show,1,12.91,NONE,0.0,3.87,9.04,7.35,1.69,2.9
ORD000061,2018-02-08,FY2017/18,6,Thursday,City Centre,Member,Group Class,Strength Circuit Class,Not Applicable,Reception,Existing Customer,CC-GR-09,Completed,1,13.67,NONE,0.0,0.0,13.67,9.14,4.53,4.2
ORD000062,2018-02-09,FY2017/18,6,Friday,Northside,Member,Membership,Flex Monthly Membership,Flex,Reception,Walk-in,SYSTEM,Completed,1,38.76,NONE,0.0,0.0,38.76,7.17,31.59,4.1
ORD000063,2018-02-09,FY2017/18,6,Friday,Riverside,Returning Member,Membership,Flex Monthly Membership,Flex,Web Store,Referral,SYSTEM,Completed,1,38.58,NONE,0.0,0.0,38.58,7.11,31.47,3.2
ORD000064,2018-02-09,FY2017/18,6,Friday,City Centre,Family Add-on,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,64.42,NONE,0.0,0.0,64.42,13.14,51.28,
ORD000065,2018-02-10,FY2017/18,6,Saturday,Northside,Member,Group Class,Pilates Class,Not Applicable,Reception,Existing Customer,NS-GR-10,Completed,1,13.76,NONE,0.0,0.0,13.76,8.96,4.8,4.4
ORD000066,2018-02-10,FY2017/18,6,Saturday,Riverside,Casual Visitor,Coaching,Personal Training Session,Not Applicable,Reception,Existing Customer,RV-CO-09,Completed,1,45.61,REFER10,4.56,0.0,41.05,25.82,15.23,4.1
ORD000067,2018-02-13,FY2017/18,7,Tuesday,City Centre,Returning Member,Membership,Annual Saver Membership,Annual Saver,Web Store,Organic Search,SYSTEM,Refunded,1,436.24,NONE,0.0,436.24,0.0,25.2,-25.2,
ORD000068,2018-02-13,FY2017/18,7,Tuesday,City Centre,Family Add-on,Membership,Unlimited Monthly Membership,Unlimited,Reception,Email,SYSTEM,Completed,1,64.14,NONE,0.0,0.0,64.14,13.83,50.31,4.5
ORD000069,2018-02-14,FY2017/18,7,Wednesday,City Centre,Corporate Employee,Coaching,Personal Training Session,Not Applicable,Reception,Paid Social,CC-CO-03,Refunded,1,46.29,NONE,0.0,23.14,23.15,12.23,10.92,
ORD000070,2018-02-15,FY2017/18,7,Thursday,Northside,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Mobile App,Referral,SYSTEM,Completed,1,27.45,NONE,0.0,0.0,27.45,4.75,22.7,3.9
ORD000071,2018-02-16,FY2017/18,7,Friday,Riverside,Member,Membership,Annual Saver Membership,Annual Saver,Corporate Portal,Existing Customer,SYSTEM,Completed,1,423.5,NONE,0.0,0.0,423.5,69.07,354.43,4.6
ORD000072,2018-02-16,FY2017/18,7,Friday,Northside,Corporate Employee,Membership,Flex Monthly Membership,Flex,Reception,Existing Customer,SYSTEM,Completed,1,38.53,NONE,0.0,0.0,38.53,6.9,31.63,4.8
ORD000073,2018-02-16,FY2017/18,7,Friday,Northside,Corporate Employee,Membership,Flex Monthly Membership,Flex,Reception,Corporate Partnership,SYSTEM,Completed,1,38.0,NONE,0.0,0.0,38.0,6.5,31.5,3.9
ORD000074,2018-02-16,FY2017/18,7,Friday,Riverside,Returning Member,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Walk-in,SYSTEM,Completed,1,27.82,NONE,0.0,0.0,27.82,4.58,23.24,4.8
ORD000075,2018-02-17,FY2017/18,7,Saturday,Northside,Student,Group Class,Pilates Class,Not Applicable,Reception,Referral,NS-GR-13,Completed,1,13.64,NONE,0.0,0.0,13.64,8.79,4.85,5.0
ORD000076,2018-02-17,FY2017/18,7,Saturday,Riverside,Returning Member,Membership,Flex Monthly Membership,Flex,Reception,Referral,SYSTEM,Completed,1,39.12,NONE,0.0,0.0,39.12,6.71,32.41,5.0
ORD000077,2018-02-17,FY2017/18,7,Saturday,Riverside,Returning Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Email,SYSTEM,Completed,1,61.28,NONE,0.0,0.0,61.28,12.81,48.47,4.1
ORD000078,2018-02-18,FY2017/18,7,Sunday,City Centre,Student,Membership,Annual Saver Membership,Annual Saver,Phone,Walk-in,SYSTEM,Completed,1,434.87,NONE,0.0,0.0,434.87,69.06,365.81,4.1
ORD000079,2018-02-18,FY2017/18,7,Sunday,City Centre,Casual Visitor,Coaching,Eight Session Coaching Pack,Not Applicable,Corporate Portal,Email,CC-CO-08,Completed,1,333.16,NONE,0.0,0.0,333.16,148.73,184.43,4.0
ORD000080,2018-02-19,FY2017/18,8,Monday,City Centre,Student,Membership,Flex Monthly Membership,Flex,Reception,Corporate Partnership,SYSTEM,Completed,1,40.62,NONE,0.0,0.0,40.62,7.64,32.98,4.8
ORD000081,2018-02-19,FY2017/18,8,Monday,Northside,Returning Member,Membership,Flex Monthly Membership,Flex,Reception,Organic Search,SYSTEM,Completed,1,38.57,NONE,0.0,0.0,38.57,7.09,31.48,4.7
ORD000082,2018-02-19,FY2017/18,8,Monday,City Centre,Casual Visitor,Coaching,Eight Session Coaching Pack,Not Applicable,Reception,Walk-in,CC-CO-07,Completed,1,337.79,NONE,0.0,0.0,337.79,157.02,180.77,4.5
ORD000083,2018-02-20,FY2017/18,8,Tuesday,City Centre,Member,Membership,Annual Saver Membership,Annual Saver,Reception,Walk-in,SYSTEM,Completed,1,430.46,NONE,0.0,0.0,430.46,68.76,361.7,4.6
ORD000084,2018-02-21,FY2017/18,8,Wednesday,Riverside,Member,Group Class,Pilates Class,Not Applicable,Reception,Paid Social,RV-GR-04,Completed,1,13.91,NONE,0.0,0.0,13.91,9.24,4.67,4.0
ORD000085,2018-02-21,FY2017/18,8,Wednesday,Northside,Family Add-on,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Organic Search,SYSTEM,Completed,1,60.77,NONE,0.0,0.0,60.77,13.33,47.44,5.0
ORD000086,2018-02-22,FY2017/18,8,Thursday,Riverside,Returning Member,Membership,Flex Monthly Membership,Flex,Web Store,Organic Search,SYSTEM,Completed,1,38.78,NONE,0.0,0.0,38.78,6.66,32.12,4.2
ORD000087,2018-02-25,FY2017/18,8,Sunday,City Centre,Returning Member,Membership,Student Off-Peak Membership,Student Off-Peak,Corporate Portal,Email,SYSTEM,Completed,1,28.83,NONE,0.0,0.0,28.83,4.7,24.13,4.0
ORD000088,2018-02-26,FY2017/18,9,Monday,Northside,Family Add-on,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,61.17,NONE,0.0,0.0,61.17,13.21,47.96,5.0
ORD000089,2018-02-26,FY2017/18,9,Monday,Northside,Returning Member,Membership,Flex Monthly Membership,Flex,Phone,Existing Customer,SYSTEM,Completed,1,38.24,NONE,0.0,0.0,38.24,7.21,31.03,5.0
ORD000090,2018-02-27,FY2017/18,9,Tuesday,City Centre,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Walk-in,SYSTEM,Cancelled,1,28.82,NONE,0.0,25.94,2.88,1.75,1.13,3.2
ORD000091,2018-02-27,FY2017/18,9,Tuesday,Riverside,Casual Visitor,Coaching,Personal Training Session,Not Applicable,Reception,Walk-in,RV-CO-01,Completed,1,45.51,NONE,0.0,0.0,45.51,26.59,18.92,3.9
ORD000092,2018-03-02,FY2017/18,9,Friday,Riverside,Returning Member,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Paid Social,SYSTEM,Completed,1,62.86,REFER10,6.29,0.0,56.57,13.26,43.31,
ORD000093,2018-03-03,FY2017/18,9,Saturday,Riverside,Family Add-on,Membership,Unlimited Monthly Membership,Unlimited,Reception,Referral,SYSTEM,Completed,1,61.73,REFER10,6.17,0.0,55.56,13.56,42.0,2.9
ORD000094,2018-03-03,FY2017/18,9,Saturday,City Centre,Member,Coaching,Personal Training Session,Not Applicable,Web Store,Referral,CC-CO-02,Completed,1,46.1,NONE,0.0,0.0,46.1,25.71,20.39,
ORD000095,2018-03-04,FY2017/18,9,Sunday,Northside,Member,Retail,Protein Shake,Not Applicable,Web Store,Referral,SYSTEM,Completed,1,4.68,NONE,0.0,0.0,4.68,2.59,2.09,4.2
ORD000096,2018-03-05,FY2017/18,10,Monday,City Centre,Student,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,64.84,NONE,0.0,0.0,64.84,13.13,51.71,4.0
ORD000097,2018-03-05,FY2017/18,10,Monday,Riverside,Returning Member,Retail,Protein Shake,Not Applicable,Reception,Existing Customer,SYSTEM,Completed,2,4.81,NONE,0.0,0.0,9.62,5.15,4.47,4.4
ORD000098,2018-03-06,FY2017/18,10,Tuesday,Riverside,Member,Membership,Flex Monthly Membership,Flex,Web Store,Walk-in,SYSTEM,Completed,1,39.08,REFER10,3.91,0.0,35.17,6.9,28.27,4.8
ORD000099,2018-03-08,FY2017/18,10,Thursday,City Centre,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Existing Customer,SYSTEM,Completed,1,29.34,NONE,0.0,0.0,29.34,5.16,24.18,5.0
ORD000100,2018-03-08,FY2017/18,10,Thursday,City Centre,Member,Coaching,Eight Session Coaching Pack,Not Applicable,Reception,Existing Customer,CC-CO-04,Completed,1,329.02,NONE,0.0,0.0,329.02,149.82,179.2,4.3
ORD000101,2018-03-08,FY2017/18,10,Thursday,City Centre,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Corporate Partnership,SYSTEM,Completed,1,28.98,NONE,0.0,0.0,28.98,4.88,24.1,4.6
ORD000102,2018-03-09,FY2017/18,10,Friday,City Centre,Casual Visitor,Group Class,Pilates Class,Not Applicable,Reception,Walk-in,CC-GR-09,Completed,1,14.62,NONE,0.0,0.0,14.62,9.78,4.84,4.4
ORD000103,2018-03-09,FY2017/18,10,Friday,Northside,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Web Store,Referral,SYSTEM,Completed,1,27.27,NONE,0.0,0.0,27.27,4.68,22.59,4.0
ORD000104,2018-03-10,FY2017/18,10,Saturday,Northside,Member,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Referral,SYSTEM,Completed,1,61.19,NONE,0.0,0.0,61.19,13.3,47.89,4.1
ORD000105,2018-03-10,FY2017/18,10,Saturday,City Centre,Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Referral,SYSTEM,Completed,1,65.1,NONE,0.0,0.0,65.1,13.39,51.71,5.0
ORD000106,2018-03-10,FY2017/18,10,Saturday,Northside,Corporate Employee,Membership,Annual Saver Membership,Annual Saver,Web Store,Corporate Partnership,SYSTEM,Completed,1,414.61,REFER10,41.46,0.0,373.15,63.81,309.34,4.9
ORD000107,2018-03-13,FY2017/18,11,Tuesday,City Centre,Student,Group Class,Pilates Class,Not Applicable,Phone,Existing Customer,CC-GR-09,Completed,1,14.47,NONE,0.0,0.0,14.47,9.88,4.59,3.8
ORD000108,2018-03-13,FY2017/18,11,Tuesday,Riverside,Member,Retail,Protein Shake,Not Applicable,Reception,Organic Search,SYSTEM,Completed,1,4.83,NONE,0.0,0.0,4.83,2.65,2.18,4.6
ORD000109,2018-03-14,FY2017/18,11,Wednesday,Northside,Corporate Employee,Group Class,Pilates Class,Not Applicable,Reception,Corporate Partnership,NS-GR-03,No Show,1,13.65,NONE,0.0,4.09,9.56,7.34,2.22,3.2
ORD000110,2018-03-15,FY2017/18,11,Thursday,Riverside,Member,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Existing Customer,SYSTEM,Completed,1,61.75,NONE,0.0,0.0,61.75,12.58,49.17,5.0
ORD000111,2018-03-16,FY2017/18,11,Friday,Riverside,Casual Visitor,Group Class,Pilates Class,Not Applicable,Reception,Walk-in,RV-GR-13,Completed,1,13.98,NONE,0.0,0.0,13.98,9.19,4.79,4.1
ORD000112,2018-03-17,FY2017/18,11,Saturday,City Centre,Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,64.16,REFER10,6.42,0.0,57.74,12.81,44.93,
ORD000113,2018-03-17,FY2017/18,11,Saturday,Riverside,Returning Member,Coaching,Personal Training Session,Not Applicable,Reception,Existing Customer,RV-CO-03,Completed,1,45.19,NONE,0.0,0.0,45.19,25.84,19.35,4.6
ORD000114,2018-03-18,FY2017/18,11,Sunday,City Centre,Returning Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Existing Customer,SYSTEM,Completed,1,64.93,NONE,0.0,0.0,64.93,13.62,51.31,5.0
ORD000115,2018-03-19,FY2017/18,12,Monday,City Centre,Member,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Paid Social,SYSTEM,Completed,1,63.76,NONE,0.0,0.0,63.76,12.87,50.89,3.9
ORD000116,2018-03-19,FY2017/18,12,Monday,City Centre,Family Add-on,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Referral,SYSTEM,Completed,1,64.65,NONE,0.0,0.0,64.65,13.01,51.64,4.4
ORD000117,2018-03-20,FY2017/18,12,Tuesday,City Centre,Member,Membership,Flex Monthly Membership,Flex,Reception,Walk-in,SYSTEM,Completed,1,40.38,NONE,0.0,0.0,40.38,7.43,32.95,3.9
ORD000118,2018-03-20,FY2017/18,12,Tuesday,Northside,Student,Group Class,Strength Circuit Class,Not Applicable,Reception,Existing Customer,NS-GR-05,Completed,1,12.66,NONE,0.0,0.0,12.66,8.28,4.38,4.6
ORD000119,2018-03-23,FY2017/18,12,Friday,Northside,Casual Visitor,Membership,Annual Saver Membership,Annual Saver,Reception,Walk-in,SYSTEM,Completed,1,406.32,REFER10,40.63,0.0,365.69,63.44,302.25,4.8
